,year,month,title
0,2023,11,US Black Friday sales rise 2.5% -Mastercard Spendingpulse
1,2023,11,Poland's budget deficit hits PLN 36.42 billion in October
2,2023,11,Bundesbank Chief Urges Swift Fiscal Planning for German Stability
3,2023,11,Signa unit confirms bankruptcy filing in letter to employees - Wirtschaftswoche
4,2023,11,"Nigeria cenbank to tighten policy to curb inflation, asks banks to boost capital"
5,2023,11,"Argentina's Milei, IMF discuss fiscal adjustment plan, monetary program"
6,2023,11,Wall St ends mixed in truncated Black Friday trading
7,2023,11,Take Five: Warming up this winter
8,2023,11,Nigeria Q3 growth steady at about 2.5% as oil sector contraction slows
9,2023,11,Argentina's economy chief frontrunner pitches Milei's 'shock' therapy to banks - sources
10,2023,11,"Canada's inflation eases in October, likely closing door on more rate hikes"
11,2023,11,ECB highlights risks in eurozone banking and labor costs amid inflation
12,2023,11,"IMF approves $3 billion SBA for Pakistan, $1.2 billion disbursed"
13,2023,11,Dollar slips on bets US rates have peaked
14,2023,11,"Global equities head toward big monthly gain, dollar falls"
15,2023,11,Turkey central bank raises interest rates to 40% amid inflation crisis
16,2023,11,"SARB maintains repo rate at 8.25%, signals possible future easing"
17,2023,11,British Business Bank unveils £130m fund to boost Welsh SMEs
18,2023,11,"BOC Signals Interest Rate Ceiling, Markets Eye Dec 6 Decision"
19,2023,11,Home working may be helping Brazil's inflation ease - central bank study
20,2023,11,UN conference adopts 2030 goal on cleaner aviation fuels
21,2023,11,South Africans seek out Black Friday essentials as crunch continues
22,2023,11,"RBI supersedes Abhyudaya Co-operative Bank's board, appoints new administrator"
23,2023,11,Factbox-Global economy to slow down but likely avoid recession in 2024
24,2023,11,Reserve Bank expands Alert List to include seven new unauthorized forex platforms
25,2023,11,Black Friday spending surges despite economic pressures
26,2023,11,Young Australians face financial literacy challenges amid economic stress
27,2023,11,Argentina's Milei says shutting central bank 'non-negotiable'
28,2023,11,Analysis-Zambia bondholder deal flop prompts calls for rethink of debt reworks
29,2023,11,Australian service sector inflation spikes amid high demand and tight supply
30,2023,11,Goldman Sachs and BlackRock optimistic about 2024 global economy
31,2023,11,Mexico's economy grows slightly above forecasts in third quarter
32,2023,11,"Investors flock back to AI fund on rate cut hopes, Nvidia results"
33,2023,11,Brazil readies measures to help sectors hit by veto on tax benefits
34,2023,11,Polish PM: opposition threatens cenbank independence with tribunal talk
35,2023,11,"Pakistan secures IMF staff-level accord, aims for economic growth"
36,2023,11,Sri Lanka anticipates second IMF bailout tranche amid recovery efforts
37,2023,11,Pakistan finance minister calls for urgent debt management reforms
38,2023,11,ECB shifts meeting minutes release to temper market impact
39,2023,11,Sterling nears three-month high; UK consumers more upbeat
40,2023,11,Exclusive-Chinese car sales boom in Russia levels off amid shaky local recovery
41,2023,11,ECB President signals caution on rate adjustments amid economic review
42,2023,11,ECB chief Lagarde admits her son lost crypto cash
43,2023,11,Brazil's Lula vetoes extension of payroll tax exemption
44,2023,11,German business sentiment improves in November - Ifo
45,2023,11,Analysis-Canadian homeowners eye fixed-rate loans in 'higher-for-longer' era
46,2023,11,Investors pour $40 billion into stocks in two weeks as markets surge -BofA
47,2023,11,German home prices to plunge further; no respite from surging rents
48,2023,11,"Indonesia's budget tips into deficit in October, on track for full year target"
49,2023,11,RBI imposes fines on cooperative banks for regulatory non-compliance
50,2023,11,RBI imposes fines on Gujarat cooperative banks for regulatory breaches
51,2023,11,"Japan CPI data shows mixed inflation signals, yen steady"
52,2023,11,EBRD head says Turkey's U-turn must carry on to entice investors
53,2023,11,Global equity funds attract inflows on hopes for end to Fed rate rises
54,2023,11,Kazakhstan central bank cuts base rate to 15.75% amid inflation trends
55,2023,11,Japan ex-currency tsar Yamasaki sees little scope for more yen falls
56,2023,11,"Exclusive-Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source"
57,2023,11,U.S. futures inch mostly up ahead of shortened trading day - what's moving markets
58,2023,11,"Kenya secures $4.43 billion IMF support, shifts loan strategy"
59,2023,11,Nigeria's economic woes blamed on past CBN missteps by Soludo
60,2023,11,India's bond market set for growth with central bank rate cuts
61,2023,11,Euro strengthens despite German GDP dip and ECB rate hike signals
62,2023,11,"Thailand expects up to 3.5 million Chinese tourists this year, below target"
63,2023,11,ECB's Holzmann tells paper he wants cut in PEPP reinvestments from March
