"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2023","84.65","84.66","85.11","84.16","","-0.02%"
"10/24/2023","84.67","87.19","87.33","83.98","","-2.87%"
"10/23/2023","87.17","88.86","89.34","86.45","","-1.88%"
"10/22/2023","88.84","89.10","89.36","88.72","","-0.85%"
"10/20/2023","89.60","90.45","91.09","88.80","","-0.93%"
"10/19/2023","90.44","88.36","90.82","86.72","","2.33%"
"10/18/2023","88.38","88.27","89.88","87.55","","0.09%"
"10/17/2023","88.30","86.75","88.31","85.69","","1.76%"
"10/16/2023","86.77","87.64","88.31","86.37","","-0.97%"
"10/15/2023","87.62","87.72","88.03","87.17","","-0.27%"
"10/13/2023","87.86","83.67","87.98","83.53","","5.07%"
"10/12/2023","83.62","83.30","85.36","82.48","","0.37%"
"10/11/2023","83.31","86.17","86.70","83.31","","-3.32%"
"10/10/2023","86.17","86.64","86.94","85.36","","-0.52%"
"10/09/2023","86.62","86.02","87.47","85.11","","0.74%"
"10/08/2023","85.98","85.05","86.69","84.94","","3.48%"
"10/06/2023","83.09","83.06","83.55","81.81","","-0.02%"
"10/05/2023","83.11","84.58","85.22","82.45","","-1.78%"
"10/04/2023","84.62","89.72","89.92","84.50","","-5.68%"
"10/03/2023","89.72","88.92","90.62","88.12","","0.88%"
"10/02/2023","88.94","91.53","92.27","88.75","","-2.80%"
"10/01/2023","91.50","91.28","91.61","91.27","","0.34%"
"09/29/2023","91.19","92.12","93.53","90.81","","-1.06%"
"09/28/2023","92.17","94.36","95.52","91.89","","-2.29%"
"09/27/2023","94.33","91.08","94.64","91.08","","3.59%"
"09/26/2023","91.06","90.27","91.23","88.70","","0.92%"
"09/25/2023","90.23","91.11","91.36","89.56","","-1.02%"
"09/24/2023","91.16","91.02","91.17","90.72","","0.25%"
"09/22/2023","90.93","90.33","91.91","89.91","","0.68%"
"09/21/2023","90.32","89.77","91.59","88.98","","0.57%"
"09/20/2023","89.81","91.33","91.68","89.59","","-1.66%"
"09/19/2023","91.33","91.72","93.08","90.99","","-0.44%"
"09/18/2023","91.73","90.82","92.05","90.58","","0.98%"
"09/17/2023","90.84","91.06","91.06","90.72","","-0.34%"
"09/15/2023","91.15","90.67","91.30","89.38","","0.53%"
"09/14/2023","90.67","88.81","90.95","88.78","","2.11%"
"09/13/2023","88.80","88.94","89.75","88.42","","-0.16%"
"09/12/2023","88.94","87.44","89.49","87.34","","1.74%"
"09/11/2023","87.42","87.12","88.30","86.86","","0.36%"
"09/10/2023","87.11","87.53","87.53","87.06","","-0.35%"
"09/08/2023","87.42","86.94","88.14","86.36","","0.58%"
"09/07/2023","86.92","87.89","87.95","86.61","","-1.10%"
"09/06/2023","87.89","87.03","88.30","86.16","","0.95%"
"09/05/2023","87.06","86.05","88.27","85.25","","1.17%"
"09/04/2023","86.05","86.09","86.38","85.53","","-0.06%"
"09/03/2023","86.10","86.26","86.27","85.98","","-0.24%"
"09/01/2023","86.31","83.86","86.32","83.83","","2.88%"
"08/31/2023","83.89","81.92","83.97","81.78","","2.40%"
"08/30/2023","81.92","81.69","82.36","81.19","","0.31%"
"08/29/2023","81.67","80.36","81.78","79.69","","1.59%"
"08/28/2023","80.39","80.55","81.18","79.94","","-0.17%"
"08/27/2023","80.53","80.42","80.70","80.33","","0.14%"
"08/25/2023","80.42","79.27","80.80","78.56","","1.41%"
"08/24/2023","79.30","78.97","79.66","77.97","","0.38%"
"08/23/2023","79.00","80.02","80.31","78.02","","-1.31%"
"08/22/2023","80.05","80.50","80.78","79.88","","-0.60%"
"08/21/2023","80.53","81.02","82.17","80.41","","-0.62%"
"08/20/2023","81.03","81.11","81.11","80.88","","-0.20%"
"08/18/2023","81.19","80.05","81.43","79.50","","1.41%"
"08/17/2023","80.06","79.25","81.08","79.08","","1.02%"
"08/16/2023","79.25","81.11","81.47","79.19","","-2.26%"
"08/15/2023","81.08","82.42","82.92","80.44","","-1.59%"
"08/14/2023","82.39","82.92","83.19","81.80","","-0.64%"
"08/13/2023","82.92","83.11","83.11","82.77","","-0.22%"
"08/11/2023","83.10","82.89","83.83","82.25","","0.22%"
"08/10/2023","82.92","84.25","84.92","82.66","","-1.60%"
"08/09/2023","84.27","82.77","84.67","82.70","","1.80%"
"08/08/2023","82.78","82.42","83.09","79.97","","0.41%"
"08/07/2023","82.44","82.97","83.28","81.59","","-0.67%"
"08/06/2023","83.00","82.91","83.33","82.81","","0.41%"
"08/04/2023","82.66","81.82","83.27","81.57","","1.01%"
"08/03/2023","81.83","79.81","81.90","78.75","","2.54%"
"08/02/2023","79.80","82.30","82.47","79.11","","-3.04%"
"08/01/2023","82.30","81.67","82.47","80.68","","0.73%"
"07/31/2023","81.70","80.47","82.05","80.19","","1.55%"
"07/30/2023","80.45","80.58","80.69","80.45","","-0.35%"
"07/28/2023","80.73","79.67","80.75","79.14","","1.31%"
"07/27/2023","79.69","79.06","80.67","79.02","","0.77%"
"07/26/2023","79.08","79.39","79.82","78.63","","-0.35%"
"07/25/2023","79.36","78.92","79.96","78.36","","0.53%"
"07/24/2023","78.94","76.64","79.33","76.52","","2.97%"
"07/23/2023","76.66","77.05","77.05","76.64","","-0.27%"
"07/21/2023","76.87","75.89","77.36","75.78","","1.26%"
"07/20/2023","75.91","75.25","76.22","74.59","","0.88%"
"07/19/2023","75.25","75.80","76.94","75.10","","-0.74%"
"07/18/2023","75.81","74.20","75.97","73.92","","2.14%"
"07/17/2023","74.22","74.89","76.05","73.86","","-0.91%"
"07/16/2023","74.90","75.00","75.12","74.61","","-0.49%"
"07/14/2023","75.27","77.16","77.20","75.15","","-2.44%"
"07/13/2023","77.15","75.78","77.24","75.31","","1.78%"
"07/12/2023","75.80","74.72","76.03","74.64","","1.40%"
"07/11/2023","74.75","73.11","74.90","72.94","","2.29%"
"07/10/2023","73.08","73.53","74.09","72.72","","-0.60%"
"07/09/2023","73.52","73.78","73.78","73.41","","-0.15%"
"07/07/2023","73.63","71.78","73.84","71.14","","2.58%"
"07/06/2023","71.78","71.86","72.28","70.17","","-0.14%"
"07/05/2023","71.88","71.02","72.10","70.30","","1.24%"
"07/04/2023","71.00","70.00","71.27","69.83","","1.40%"
"07/03/2023","70.02","70.33","71.69","69.64","","-0.45%"
"07/02/2023","70.34","70.33","70.36","70.20","","-0.04%"
"06/30/2023","70.37","69.67","70.94","69.48","","1.02%"
"06/29/2023","69.66","69.23","70.50","68.87","","0.64%"
"06/28/2023","69.22","67.86","69.64","66.97","","2.03%"
"06/27/2023","67.84","69.39","70.05","67.41","","-2.21%"
"06/26/2023","69.37","69.86","69.94","68.62","","-0.67%"
"06/25/2023","69.84","69.53","69.97","69.36","","0.62%"
"06/23/2023","69.41","69.20","69.49","67.25","","0.27%"
"06/22/2023","69.22","72.34","72.53","68.83","","-4.37%"
"06/21/2023","72.38","70.80","72.58","70.75","","2.22%"
"06/20/2023","70.81","71.23","72.25","69.65","","-0.53%"
"06/19/2023","71.19","71.33","72.12","70.69","","-0.21%"
"06/18/2023","71.34","71.53","71.58","71.28","","-0.21%"
"06/16/2023","71.49","70.67","71.88","70.05","","1.17%"
"06/15/2023","70.66","68.53","71.01","68.03","","3.06%"
"06/14/2023","68.56","69.22","70.50","68.12","","-0.92%"
"06/13/2023","69.20","67.44","69.83","67.17","","2.64%"
"06/12/2023","67.42","69.97","69.98","66.81","","-3.69%"
"06/11/2023","70.00","70.19","70.25","69.86","","-0.48%"
"06/09/2023","70.34","70.86","71.78","70.13","","-0.73%"
"06/08/2023","70.86","72.41","73.30","69.09","","-2.18%"
"06/07/2023","72.44","71.72","73.18","71.03","","0.93%"
"06/06/2023","71.77","71.98","72.34","70.14","","-0.28%"
"06/05/2023","71.97","73.39","73.86","71.75","","-1.93%"
"06/04/2023","73.39","73.78","74.34","73.30","","2.02%"
"06/02/2023","71.94","70.11","72.19","70.03","","2.61%"
"06/01/2023","70.11","67.75","71.08","67.55","","3.48%"
"05/31/2023","67.75","69.54","69.70","67.06","","-2.62%"
