"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2023","97.57","98.04","98.51","97.57","17.02K","-0.43%"
"10/24/2023","97.99","99.02","99.44","97.97","150.38K","-1.03%"
"10/23/2023","99.01","99.65","100.10","98.51","153.64K","-1.35%"
"10/20/2023","100.36","102.07","102.39","100.30","144.96K","-1.71%"
"10/19/2023","102.11","101.75","102.94","100.90","170.70K","-0.27%"
"10/18/2023","102.39","102.16","102.69","101.64","162.70K","0.98%"
"10/17/2023","101.40","100.14","101.70","100.14","84.71K","0.88%"
"10/16/2023","100.52","100.38","100.68","99.33","158.25K","0.84%"
"10/13/2023","99.68","99.15","100.35","98.75","201.18K","2.40%"
"10/12/2023","97.34","97.89","98.00","96.81","139.90K","0.26%"
"10/11/2023","97.09","96.28","97.15","95.37","212.26K","0.23%"
"10/10/2023","96.87","96.89","97.66","96.14","133.43K","0.06%"
"10/09/2023","96.81","96.01","97.14","95.16","165.67K","3.91%"
"10/06/2023","93.17","92.31","94.07","91.56","160.17K","2.33%"
"10/05/2023","91.05","89.82","91.79","89.82","167.29K","0.02%"
"10/04/2023","91.03","93.14","93.14","90.06","578.16K","-3.76%"
"10/03/2023","94.59","94.21","94.59","93.29","121.02K","-0.31%"
"10/02/2023","94.88","97.58","97.58","94.16","175.48K","-2.72%"
"09/29/2023","97.53","99.65","99.94","97.26","113.75K","-2.08%"
"09/28/2023","99.60","99.36","100.28","98.91","96.62K","0.43%"
"09/27/2023","99.17","98.00","99.83","97.61","132.46K","2.70%"
"09/26/2023","96.56","96.17","97.28","95.92","93.36K","-1.01%"
"09/25/2023","97.55","95.85","97.64","95.85","161.09K","1.67%"
"09/22/2023","95.95","97.00","97.64","95.83","134.09K","-0.29%"
"09/21/2023","96.23","98.08","98.77","96.02","144.47K","-1.30%"
"09/20/2023","97.50","98.47","99.56","97.49","226.58K","-1.52%"
"09/19/2023","99.00","101.07","101.24","98.47","168.46K","-1.35%"
"09/18/2023","100.35","100.53","101.25","99.88","236.12K","0.46%"
"09/15/2023","99.89","101.14","101.49","99.71","319.41K","-1.62%"
"09/14/2023","101.54","101.59","102.16","101.35","642.33K","1.10%"
"09/13/2023","100.44","101.58","101.62","99.81","615.61K","-0.83%"
"09/12/2023","101.28","100.16","101.49","99.92","338.16K","2.22%"
"09/11/2023","99.08","101.47","101.78","98.72","124.23K","-1.76%"
"09/08/2023","100.86","100.27","101.66","100.27","149.14K","1.31%"
"09/07/2023","99.56","99.83","100.41","99.35","126.51K","-0.33%"
"09/06/2023","99.89","99.95","100.78","99.15","240.51K","-0.15%"
"09/05/2023","100.04","100.59","101.40","100.01","508.90K","0.05%"
"09/01/2023","99.99","98.84","100.19","98.84","90.00K","2.24%"
"08/31/2023","97.80","98.17","98.17","96.96","48.98K","0.07%"
"08/30/2023","97.73","97.78","97.98","97.40","89.87K","0.44%"
"08/29/2023","97.30","97.03","97.33","96.19","131.73K","0.45%"
"08/28/2023","96.86","96.85","97.71","96.40","125.35K","0.48%"
"08/25/2023","96.40","96.09","96.88","95.08","105.61K","0.95%"
"08/24/2023","95.49","95.27","96.38","95.15","90.94K","-0.54%"
"08/23/2023","96.01","95.94","96.22","94.69","79.07K","-0.65%"
"08/22/2023","96.64","97.48","97.84","96.64","66.05K","-0.79%"
"08/21/2023","97.41","97.92","98.56","96.61","113.55K","-0.08%"
"08/18/2023","97.49","96.50","97.62","96.24","143.09K","0.66%"
"08/17/2023","96.85","96.80","97.91","96.65","122.50K","1.34%"
"08/16/2023","95.57","96.04","97.29","95.47","98.88K","-0.64%"
"08/15/2023","96.19","96.60","96.92","95.65","155.58K","-1.66%"
"08/14/2023","97.81","98.06","98.09","97.05","80.34K","-0.57%"
"08/11/2023","98.37","97.21","98.66","97.18","148.85K","1.26%"
"08/10/2023","97.15","97.65","98.40","96.54","219.80K","-0.45%"
"08/09/2023","97.59","97.02","98.89","96.82","175.42K","1.46%"
"08/08/2023","96.19","93.80","96.27","93.20","86.05K","0.84%"
"08/07/2023","95.39","95.56","95.90","94.90","51.79K","0.28%"
"08/04/2023","95.12","95.62","96.35","94.94","124.86K","0.22%"
"08/03/2023","94.91","93.53","95.82","93.14","128.64K","1.39%"
"08/02/2023","93.61","94.46","94.87","92.85","99.98K","-1.41%"
"08/01/2023","94.95","94.35","95.06","93.69","112.71K","-0.09%"
"07/31/2023","95.04","94.53","95.20","94.53","68.20K","1.19%"
"07/28/2023","93.92","92.74","93.95","92.47","52.33K","1.35%"
"07/27/2023","92.67","93.69","94.25","92.40","100.29K","-0.60%"
"07/26/2023","93.23","92.14","93.54","91.90","51.33K","0.47%"
"07/25/2023","92.79","92.02","93.30","91.47","203.30K","0.80%"
"07/24/2023","92.05","90.98","92.89","90.98","109.02K","1.44%"
"07/21/2023","90.74","90.41","90.80","89.77","53.82K","0.87%"
"07/20/2023","89.96","89.14","90.01","89.11","69.67K","1.40%"
"07/19/2023","88.72","88.48","89.41","88.28","83.78K","0.56%"
"07/18/2023","88.23","86.19","88.84","86.19","88.26K","2.41%"
"07/17/2023","86.15","85.84","86.56","85.79","68.53K","-0.10%"
"07/14/2023","86.24","88.52","88.52","86.07","84.51K","-2.93%"
"07/13/2023","88.84","88.57","89.95","88.29","58.78K","0.40%"
"07/12/2023","88.49","88.25","89.04","88.11","171.02K","0.68%"
"07/11/2023","87.89","85.97","87.99","85.95","68.97K","2.70%"
"07/10/2023","85.58","85.03","85.74","84.88","45.91K","0.53%"
"07/07/2023","85.13","82.48","86.10","82.48","57.72K","2.80%"
"07/06/2023","82.81","84.05","84.60","81.95","75.09K","-2.34%"
"07/05/2023","84.79","85.65","85.65","84.51","63.55K","-0.49%"
"07/03/2023","85.21","85.06","85.77","84.98","32.50K","0.33%"
"06/30/2023","84.93","84.77","85.46","84.08","40.67K","0.64%"
"06/29/2023","84.39","83.46","84.43","83.38","39.61K","1.39%"
"06/28/2023","83.23","82.34","83.31","81.59","55.64K","1.17%"
"06/27/2023","82.27","82.12","82.68","81.55","69.98K","0.11%"
"06/26/2023","82.18","81.02","82.72","81.02","46.25K","1.52%"
"06/23/2023","80.95","80.82","81.32","80.42","56.08K","-0.82%"
"06/22/2023","81.62","82.06","82.07","81.10","86.10K","-1.76%"
"06/21/2023","83.08","82.12","83.66","82.12","78.41K","0.97%"
"06/20/2023","82.28","83.69","83.69","81.66","83.89K","-2.38%"
"06/16/2023","84.29","83.93","84.66","83.62","85.79K","0.72%"
"06/15/2023","83.68","82.48","84.39","82.48","151.42K","1.58%"
"06/14/2023","82.38","84.21","84.34","81.82","86.57K","-1.15%"
"06/13/2023","83.34","83.86","85.22","83.30","126.36K","0.51%"
"06/12/2023","82.92","82.63","83.77","82.26","204.81K","-1.32%"
"06/09/2023","84.03","84.26","84.86","83.74","88.16K","-0.50%"
"06/08/2023","84.45","84.78","85.17","83.02","77.60K","-0.48%"
"06/07/2023","84.86","82.42","84.93","82.42","125.71K","2.72%"
"06/06/2023","82.61","80.67","82.80","80.57","83.21K","0.93%"
"06/05/2023","81.85","84.16","84.19","81.58","78.37K","-0.99%"
"06/02/2023","82.67","81.34","83.07","80.99","152.23K","3.49%"
"06/01/2023","79.88","79.60","81.01","78.97","100.18K","0.73%"
"05/31/2023","79.30","79.33","79.91","79.05","99.30K","-1.67%"
"05/30/2023","80.65","80.70","80.91","79.84","96.79K","-1.54%"
"05/26/2023","81.91","82.70","82.81","81.24","81.93K","-0.22%"
"05/25/2023","82.09","82.91","82.91","81.34","101.56K","-2.24%"
"05/24/2023","83.97","84.28","84.62","83.19","126.51K","0.25%"
"05/23/2023","83.76","84.20","84.92","83.53","92.56K","0.23%"
"05/22/2023","83.57","82.82","84.35","82.65","70.54K","1.03%"
"05/19/2023","82.72","83.02","83.72","82.36","196.94K","0.68%"
"05/18/2023","82.16","80.95","82.19","80.14","80.50K","1.16%"
"05/17/2023","81.22","80.32","81.76","79.75","102.04K","2.22%"
"05/16/2023","79.46","81.63","81.88","79.44","126.81K","-2.84%"
"05/15/2023","81.78","81.08","82.20","80.54","79.76K","1.45%"
"05/12/2023","80.61","80.83","81.33","79.83","207.49K","0.34%"
"05/11/2023","80.34","80.24","80.85","79.75","123.53K","-1.12%"
"05/10/2023","81.25","82.20","82.20","80.68","94.65K","-0.55%"
"05/09/2023","81.70","81.02","82.49","81.00","96.89K","0.04%"
"05/08/2023","81.67","82.99","83.35","81.65","85.78K","0.33%"
"05/05/2023","81.40","81.15","82.34","80.86","93.21K","3.19%"
"05/04/2023","78.88","79.98","80.82","78.70","216.44K","-1.29%"
"05/03/2023","79.91","80.42","81.29","79.66","251.08K","-2.30%"
"05/02/2023","81.79","84.44","84.44","80.63","223.48K","-4.35%"
"05/01/2023","85.51","84.96","86.08","84.63","81.42K","-0.37%"
"04/28/2023","85.83","83.97","86.47","83.86","73.84K","2.09%"
"04/27/2023","84.07","84.04","84.62","83.00","113.78K","0.05%"
"04/26/2023","84.03","84.62","85.27","83.41","144.45K","-1.14%"
"04/25/2023","85.00","86.37","86.37","84.63","68.33K","-2.50%"
"04/24/2023","87.18","85.47","87.50","85.47","48.65K","1.53%"
"04/21/2023","85.87","87.08","87.08","85.40","49.71K","-1.04%"
"04/20/2023","86.77","86.63","86.88","85.78","102.85K","-1.08%"
"04/19/2023","87.72","87.26","87.73","86.49","80.65K","-0.77%"
"04/18/2023","88.40","88.65","88.73","87.77","146.47K","-0.33%"
"04/17/2023","88.69","90.04","90.15","88.60","52.20K","-1.79%"
"04/14/2023","90.31","90.46","90.98","89.78","110.23K","0.18%"
"04/13/2023","90.15","89.68","90.63","89.40","69.18K","0.60%"
"04/12/2023","89.61","90.56","90.65","89.59","126.83K","-0.44%"
"04/11/2023","90.01","89.62","90.40","88.97","94.01K","1.04%"
"04/10/2023","89.08","88.03","90.20","88.03","92.67K","1.54%"
"04/06/2023","87.73","89.03","89.03","87.58","89.39K","-1.49%"
"04/05/2023","89.06","87.57","89.06","86.95","100.20K","1.90%"
"04/04/2023","87.40","90.22","90.22","86.32","324.07K","-2.74%"
"04/03/2023","89.86","89.47","90.56","88.55","348.34K","4.72%"
"03/31/2023","85.81","85.25","85.93","85.11","130.62K","1.02%"
"03/30/2023","84.94","85.64","85.80","84.44","481.39K","-0.08%"
"03/29/2023","85.01","84.77","85.08","84.18","89.91K","1.57%"
"03/28/2023","83.70","82.12","84.30","82.12","184.73K","1.59%"
"03/27/2023","82.39","81.40","82.91","80.60","230.52K","2.37%"
